final_star,tries_until_dropout,dropout,union_segment,policy,total_fails,total_destroy,max_consecutive_fail,threshold
17,15,1,low_union,advantage,13,0,10,168.46192688675194
15,10,1,low_union,baseline,10,0,10,162.03170657303284
21,36,1,low_union,advantage,29,1,8,189.8383834301301
17,17,1,low_union,baseline,14,1,9,153.59533585958715
21,39,1,low_union,advantage,29,4,10,216.62917531708706
26,56,1,low_union,baseline,41,4,7,203.58880241442574
18,14,1,low_union,advantage,11,0,11,170.6164869579059
16,14,1,low_union,baseline,12,1,10,145.73730941818246
19,29,1,low_union,advantage,25,0,8,207.07744748330825
18,22,1,low_union,baseline,19,0,10,177.70920309494764
19,34,1,low_union,advantage,29,1,8,204.75632623946925
20,28,1,low_union,baseline,21,2,8,148.11144682411265
18,21,1,low_union,advantage,18,0,10,168.01249954092455
22,34,1,low_union,baseline,26,1,8,180.10487399436366
17,17,1,low_union,advantage,14,1,11,180.93961187529484
22,39,1,low_union,baseline,32,0,7,170.99869057041514
21,41,1,low_union,advantage,31,4,7,192.45699864694998
20,37,1,low_union,baseline,28,4,7,158.6475914123481
22,28,1,low_union,advantage,20,1,9,177.15241029957414
18,22,1,low_union,baseline,18,1,10,182.40591263423798
17,15,1,low_union,advantage,13,0,11,190.28877668117497
19,23,1,low_union,baseline,17,2,11,194.23229756177778
22,36,1,low_union,advantage,28,1,8,157.50715816324262
16,14,1,low_union,baseline,12,1,10,149.31771658528754
22,33,1,low_union,advantage,25,1,8,205.5535364379702
17,16,1,low_union,baseline,14,1,11,186.64628023959185
23,50,1,low_union,advantage,36,6,6,165.03026926886892
18,32,1,low_union,baseline,27,2,9,211.02303951045047
23,39,1,low_union,advantage,30,1,8,182.31349268585717
20,44,1,low_union,baseline,33,6,7,203.58594368127652
21,36,1,low_union,advantage,29,1,8,181.35036962820217
20,35,1,low_union,baseline,28,2,10,221.21495849763974
16,18,1,low_union,advantage,17,0,9,215.10681684886407
18,24,1,low_union,baseline,21,0,9,175.02071703041852
21,47,1,low_union,advantage,36,5,8,199.43141901908712
17,20,1,low_union,baseline,17,1,9,192.90751899170294
19,28,1,low_union,advantage,23,1,10,207.37263115064698
21,28,1,low_union,baseline,21,1,9,160.70153078839792
21,29,1,low_union,advantage,23,0,9,193.7210291999688
17,18,1,low_union,baseline,15,1,11,201.16848973699175
20,23,1,low_union,advantage,18,0,9,144.8252102715377
17,22,1,low_union,baseline,19,1,8,156.3348297466845
15,10,1,low_union,advantage,10,0,10,139.21535644479798
21,35,1,low_union,baseline,27,2,8,174.61186331110883
22,35,1,low_union,advantage,27,1,9,194.35084511591924
17,25,1,low_union,baseline,21,2,11,210.04714104192055
24,44,1,low_union,advantage,34,1,8,181.4818956083955
22,53,1,low_union,baseline,37,9,8,212.57231091142583
23,43,1,low_union,advantage,31,4,6,152.39797083570218
15,10,1,low_union,baseline,10,0,10,145.9323512128969
17,17,1,low_union,advantage,15,0,10,178.88904602206762
22,40,1,low_union,baseline,30,3,8,187.68130897878615
19,22,1,low_union,advantage,18,0,8,179.34610503811814
23,33,1,low_union,baseline,24,1,8,138.65115799920247
21,40,1,low_union,advantage,28,6,9,178.21759920974424
19,24,1,low_union,baseline,19,1,8,153.91060998990292
23,43,1,low_union,advantage,33,2,8,193.39345097660077
18,25,1,low_union,baseline,20,2,9,187.33196492193696
18,25,1,low_union,advantage,19,3,8,161.20240427345288
21,30,1,low_union,baseline,22,2,9,169.72266165326613
22,39,1,low_union,advantage,28,4,7,158.81572956222098
18,26,1,low_union,baseline,20,3,8,178.74641805453658
22,47,1,low_union,advantage,35,5,6,199.10284641002477
16,13,1,low_union,baseline,11,1,10,160.28547907328914
17,13,1,low_union,advantage,11,0,11,190.08093031035688
18,27,1,low_union,baseline,23,1,8,169.39484763255118
23,37,1,low_union,advantage,28,1,9,164.14254335475312
21,31,1,low_union,baseline,23,2,8,177.85939280090884
19,28,1,low_union,advantage,23,1,8,159.29515355161251
16,22,1,low_union,baseline,19,2,8,168.92701389305637
21,23,1,low_union,advantage,17,0,10,156.04244214822302
17,19,1,low_union,baseline,16,1,11,219.2945026583278
26,45,1,low_union,advantage,31,3,8,180.70527103943456
20,33,1,low_union,baseline,25,3,9,166.0054898401483
23,38,1,low_union,advantage,28,2,7,184.27959821468443
17,19,1,low_union,baseline,17,0,9,177.7534390061834
17,20,1,low_union,advantage,18,0,10,175.58060800933555
19,38,1,low_union,baseline,28,6,9,192.2833340008685
20,24,1,low_union,advantage,19,0,10,195.1501542009461
18,20,1,low_union,baseline,17,0,9,169.38997704778944
17,31,1,low_union,advantage,25,4,7,168.4836351871064
21,31,1,low_union,baseline,24,1,7,174.4989660569671
17,25,1,low_union,advantage,20,3,7,133.9615767052883
22,38,1,low_union,baseline,29,2,7,149.69617875602896
19,24,1,low_union,advantage,18,2,10,207.33748534889048
22,35,1,low_union,baseline,25,3,9,212.89935427002567
23,26,1,low_union,advantage,18,0,8,175.01927920887243
22,43,1,low_union,baseline,34,2,7,191.53113926111533
